namn,init,kon,yrke,tid,ort,rader,antal,kon2,arh
Marcus Fagerudd,MF,man,ishockeyspelare,2000-tal,Jakobstad,804,1,1,20
Erik Lindström,EL,man,skådespelare,1900-tal,Helsingfors,796,1,1,19
Patti Hansén,PH,man,programledare,2000-tal,Vasa,784,1,1,20
Karl Nars,KN,man,affärsman,1900-tal,Purmo,782,1,1,19
Joan Edelmann,JE,kvinna,journalist,1900-tal,Helsingfors,774,1,2,19
Jenni Dahlman-Räikkönen,JD,kvinna,skönhetstävlingsdeltagare,2000-tal,Pikis,757,1,2,20
Astrid Gartz,AG,kvinna,journalist,1900-tal,Liljendal,755,1,2,19
Gustaf Johan Filip Armfelt,GJFA,man,föreläsare,1800-tal,Paris,743,1,1,18
Olle Sirén,OS,man,pedagog,1900-tal,Pyttis,739,1,1,19
Anders Englund,AE,man,politiker,1900-tal,Jomala,738,1,1,19
Joachim Thibblin,JT,man,skådespelare,2000-tal,Esbo,731,1,1,20
Lasse Liemola,LL,man,sångare,1900-tal,Helsingfors,725,1,1,19
Adelina Engman,AE,kvinna,fotbollsspelare,2000-tal,Mariehamn,714,1,2,20
Ernst Tandefelt,ET,man,affärsman,1900-tal,Sysmä,693,1,1,19
Carl Björkman,CB,man,politiker,1900-tal,Åbo,683,1,1,19
Lars Nyberg,LN,man,radiopionjär,1900-tal,Karis,672,1,1,19
Jarl Lundqvist,JL,man,officerare,1900-tal,Helsingfors,659,1,1,19
Erik Bergman,EB,man,körledare,1900-tal,Nykarleby,634,1,1,19
Erik Lundberg,EL,man,fotbollsspelare,2000-tal,Mariehamn,616,1,1,20
Christoffer Westerlund,CW,man,skådespelare,2000-tal,Karis,607,1,1,20
Erik Cajanus,EC,man,präst,1700-tal,Sotkamo,603,1,1,17
Sofia Hagman,SH,kvinna,pedagog,1800-tal,Vasa,558,1,2,18
Margareta Högman,MH,kvinna,ledare,1800-tal,Q5438885,557,1,2,18
Nils Gustafsson,NG,man,busschaufför,1900-tal,Vanda,508,1,1,19
Cisse Häkkinen,CH,man,basist,1900-tal,Helsingfors,506,1,1,19
Magnus Lindberg,ML,man,musiker,1900-tal,Helsingfors,473,1,1,19
Nils Gyldenstolpe,NG,man,diplomat,1600-tal,Åbo,470,1,1,16
Gunnar Jansson,GJ,man,politiker,1900-tal,Jomala,444,1,1,19
Leif Jakobsson,LJ,man,TV-producent,1900-tal,Jakobstad,398,1,1,19
Erik Blomberg,EB,man,filmproducent,1900-tal,Helsingfors,381,1,1,19
Jonatan Johansson,JJ,man,fotbollsspelare,2000-tal,Stockholm,369,1,1,20
Johan Asplund,JA,man,sociolog,1900-tal,Jakobstad,300,1,1,19
Gunnar Nordström,GN,man,universitetslärare,1900-tal,Helsingfors,284,1,1,19
Harald Lindberg,HL,man,bryolog,1900-tal,Helsingfors,283,1,1,19
Hjalmar Procopé,HP,man,översättare,1800-tal,Helsingfors,259,1,1,18
Gunnar Mattsson,GM,man,journalist,1900-tal,Helsingfors,254,1,1,19
Gustav Wiklund,GW,man,skådespelare,1900-tal,Helsingfors,251,1,1,19
Konni Zilliacus,KZ,man,journalist,1800-tal,Helsingfors,249,1,1,18
Hjalmar Dahl,HD,man,journalist,1900-tal,Parikkala,244,1,1,19
Katja Nyberg,KN,kvinna,handbollstränare,2000-tal,Stockholm,241,1,2,20
Göran Schildt,GS,man,konsthistoriker,1900-tal,Helsingfors,239,1,1,19
Sven Lindman,SL,man,statsvetare,1900-tal,Helsingfors,218,1,1,19
Karin Smirnoff,KS,kvinna,skribent,1900-tal,Stockholm,208,1,2,19
Johan Eberhard von Schantz,JEvS,man,världsresenär,1800-tal,Björneborg,191,1,1,18
Peter Sjölund,PS,man,fotbollsspelare,2000-tal,Finström,169,1,1,20
Georg Fraser,GF,man,militär,1800-tal,Helsingfors,154,1,1,18
Thomas Sandell,TS,man,arkitekt,1900-tal,Skellefteå,144,1,1,19
Bengt Holmström,BH,man,universitetslärare,1900-tal,Helsingfors,135,1,1,19
Arne Öhman,AÖ,man,politiker,1900-tal,Helsingfors,99,1,1,19
Odert Reinhold von Essen d.y.,ORvE,man,militär,1700-tal,Hollola,52,1,1,17
Natanael Gerhard af Schultén,NGaS,man,officerare,1700-tal,Nagu,48,1,1,17
Ernst Johan Creutz d.y.,EJCd,man,politiker,1700-tal,Åbo,46,1,1,17
Johan Casimir Ehrnrooth,JCE,man,politiker,1800-tal,Nastola,46,1,1,18
Clas Eriksson Fleming,CEF,man,politiker,1500-tal,Pargas stad,44,1,1,15
Gregori Tigerstedt,GT,man,officerare,1800-tal,Moskva,44,1,1,18
Mikaela Taivassalo,MT,kvinna,skribent,2000-tal,Nedervetil,44,1,2,20
Otto Henrik Nordenskiöld,OHN,man,militär,1700-tal,Mäntsälä,43,1,1,17
R. R. Eklund,RRE,man,journalist,1900-tal,Nykarleby,38,1,1,19
Gustaf Johansson,GJ,man,journalist,1900-tal,Åbo,34,1,1,19
Johan Zacharias Bång,JZB,man,militär,1800-tal,Umeå,33,1,1,18
Alex Federley,AF,man,serieskapare,1800-tal,Åbo,32,1,1,18
Edvard Alexander Fazer,EAF,man,pianist,1800-tal,Helsingfors,30,1,1,18
Ulla Bjerne-Biaudet,UB,kvinna,skribent,1900-tal,Söderhamn,29,1,2,19
Anton Lundell,AL,man,ishockeyspelare,2000-tal,Esbo,25,1,1,20
