namn,init,kon,yrke,tid,ort,rader,antal,kon2,arh
Rolf Koskinen,RK,man,orienterare,1900-tal,Helsingfors,1898,1,1,19
Evert Huldén,EH,man,bonde,1900-tal,Munsala,1888,1,1,19
Hugo Österman,HÖ,man,politiker,1900-tal,Helsingfors,1878,1,1,19
Joachim Kurtén,JK,man,politiker,1800-tal,Kronoby,1871,1,1,18
Werner Söderström,WS,man,förläggare,1800-tal,Borgå,1870,1,1,18
Henake Schubak,HS,man,scenskådespelare,1900-tal,Åbo,1867,1,1,19
Wilhelm Schauman,WS,man,affärsman,1800-tal,Jakobstad,1859,1,1,18
Wilhelm Bolin,WB,man,filosof,1800-tal,Sankt Petersburg,1854,1,1,18
Gunnar Höckert,GH,man,friidrottare,1900-tal,Helsingfors,1849,1,1,19
Ulla-Maj Wideroos,UW,kvinna,politiker,1900-tal,Jakobstad,1845,1,2,19
Hans Groop,HG,man,ingenjör,1900-tal,Vasa,1845,1,1,19
Einar Ilmoni,EI,man,målare,1900-tal,Villmanstrand,1841,1,1,19
Jessica Julin,JJ,kvinna,fotbollsspelare,2000-tal,Jakobstad,1841,1,2,20
Johan Hedman,JH,man,målare,1800-tal,Jakobstad,1827,1,1,18
Tiina Lillak,TL,kvinna,spjutkastare,1900-tal,Helsingfors,1827,1,2,19
Erik Tawaststjerna,ET,man,musikpedagog,1900-tal,S:t Michel,1826,1,1,19
Philip Ulric Strengberg,PUS,man,affärsman,1800-tal,Sievi,1823,1,1,18
Carl-Olaf Homén,CH,man,idrottsperson,1900-tal,Helsingfors,1822,1,1,19
Kjell Lindblad,KL,man,skribent,1900-tal,Finland,1819,1,1,19
Reijo Ståhlberg,RS,man,friidrottare,1900-tal,Ekenäs,1817,1,1,19
Åke Gartz,ÅG,man,diplomat,1900-tal,Helsingfors,1816,1,1,19
Roger Jansson,RJ,man,politiker,1900-tal,Kimitoön,1802,1,1,19
Emil Schybergson,ES,man,politiker,1800-tal,Åbo,1793,1,1,18
Nina Ahlstedt,NA,kvinna,målare,1800-tal,Åbo,1778,1,2,18
Annika Idström,AI,kvinna,dramaturg,1900-tal,Helsingfors,1778,1,2,19
Ville Zilliacus,VZ,man,Q7281291,1900-tal,Helsingfors,1765,1,1,19
Henrik Borgström,HB,man,ishockeyspelare,2000-tal,Helsingfors,1761,1,1,20
Gudrun Mörne,GM,kvinna,journalist,1900-tal,Esbo,1758,1,2,19
Johan Agapetus Törngren,JAT,man,gynekolog,1800-tal,Borgå,1756,1,1,18
Ossian Aschan,OA,man,kemist,1800-tal,Helsingfors,1748,1,1,18
Björn Westerlund,BW,man,politiker,1900-tal,Hannover,1743,1,1,19
Carl Bengts,CB,man,målare,1900-tal,Närpes,1740,1,1,19
Henrik Ramsay,HR,man,diplomat,1900-tal,Helsingfors,1736,1,1,19
Kurt Wires,KW,man,kanotist,1900-tal,Helsingfors,1727,1,1,19
Johan Simberg,JS,man,skådespelare,1900-tal,Helsingfors,1721,1,1,19
Torbjörn Eliasson,TE,man,politiker,1900-tal,Jomala,1708,1,1,19
Tony Asumaa,TA,man,politiker,1900-tal,Vasa,1701,1,1,19
Sandra Bergqvist,SB,kvinna,politiker,2000-tal,Nagu,1701,1,2,20
Adolf Ehrnrooth,AE,man,officerare,1900-tal,Helsingfors,1699,1,1,19
Leo Ågren,LÅ,man,konstnär,1900-tal,Nykarleby,1697,1,1,19
Erika Lindström,EL,kvinna,missionär,1900-tal,Sund,1695,1,2,19
Gun-Mari Lindholm,GL,kvinna,politiker,1900-tal,Jomala,1677,1,2,19
Berndt Arell,BA,man,museidirektör,1900-tal,Ekenäs,1677,1,1,19
Wilhelm Wahlforss,WW,man,entreprenör,1900-tal,Helsingfors,1672,1,1,19
Kristin Olsoni,KO,kvinna,regissör,1900-tal,Helsingfors,1671,1,2,19
Anders Överström,AÖ,man,fotbollsspelare,2000-tal,Mariehamn,1669,1,1,20
Rebecka Forsberg,RF,kvinna,influerare,2000-tal,Kyrkslätt,1654,1,2,20
Joel Mattsson,JM,man,fotbollsspelare,2000-tal,Mariehamn,1654,1,1,20
Jakob Näs,JN,man,bonde,1800-tal,Munsala,1650,1,1,18
Odert Gripenberg,OG,man,pedagog,1800-tal,Sääksmäki,1649,1,1,18
M. G. Schybergson,MGS,man,historiker,1800-tal,Åbo,1628,1,1,18
Nicke Lignell,NL,man,skådespelare,1900-tal,Ekenäs,1625,1,1,19
Anders Donner,AD,man,astronom,1800-tal,Karleby,1623,1,1,18
Harald Öhquist,HÖ,man,militär,1900-tal,Helsingfors,1621,1,1,19
Sune Eriksson,SE,man,politiker,1900-tal,Finland,1621,1,1,19
Casimir Ehrnrooth,CE,man,företagsledare,1900-tal,Helsingfors,1617,1,1,19
Rita Polster,RP,kvinna,filmskådespelare,1900-tal,Åbo,1611,1,2,19
Michael Widenius,MW,man,datavetare,1900-tal,Helsingfors,1606,1,1,19
Mats Nylund,MN,man,politiker,1900-tal,Pedersöre,1603,1,1,19
Edvard Blomqvist,EB,man,hydrograf,1800-tal,Sibbo,1598,1,1,18
Minna Lindberg,ML,kvinna,politiker,2000-tal,Nickby,1596,1,2,20
Johan Helsingius,JH,man,datavetare,1900-tal,Helsingfors,1593,1,1,19
Ulrica Charlotta Falkman,UCF,kvinna,författare,1800-tal,Södermanland,1586,1,2,18
Otto Malm,OM,man,affärsman,1800-tal,Jakobstad,1577,1,1,18
Anna-Lisa Sahlström,AS,kvinna,journalist,1900-tal,Vasa,1574,1,2,19
Börje Lampenius,BL,man,skådespelare,1900-tal,Helsingfors,1570,1,1,19
Mats Långbacka,ML,man,skådespelare,1900-tal,Helsingfors,1558,1,1,19
Helen Elde,HE,kvinna,filmskådespelare,1900-tal,Tavastehus,1552,1,2,19
Olav Ahlbäck,OA,man,lingvist,1900-tal,Vasa,1552,1,1,19
Bernt Mårtensson,BM,man,författare,1900-tal,Houtskär,1545,1,1,19
Rabbe Grönblom,RG,man,entreprenör,1900-tal,Helsingfors,1544,1,1,19
Rickard Eklund,RE,man,låtskrivare,2000-tal,Närpes,1544,1,1,20
Alexandra Frosterus-Såltin,AF,kvinna,målare,1800-tal,Ingå,1541,1,2,18
Nina Holmén,NH,kvinna,medeldistanslöpare,1900-tal,Pedersöre,1540,1,2,19
Mikael Boström,MB,man,orienterare,2000-tal,Sjundeå,1539,1,1,20
Lars Wiklöf,LW,man,politiker,1900-tal,Mariehamn,1529,1,1,19
Emilie Bergbom,EB,kvinna,teaterchef,1800-tal,Vasa,1523,1,2,18
Oswald Renkonen,OR,man,universitetslärare,1900-tal,Heinola,1522,1,1,19
Carola Standertskjöld,CS,kvinna,sångare,1900-tal,Helsingfors,1513,1,2,19
Carl-Gustaf Herlitz,CH,man,industriledare,1900-tal,Helsingfors,1499,1,1,19
Fjalar Finnäs,FF,man,Q18121578,1900-tal,Larsmo,1496,1,1,19
Helge Robert Söderström,HRS,man,journalist,1900-tal,Kaskö,1495,1,1,19
Gungerd Wikholm,GW,kvinna,journalist,1900-tal,Karis,1491,1,2,19
Carl Göran Aminoff,CGA,man,politiker,1900-tal,Hangö,1491,1,1,19
Bruno Granholm,BG,man,järnvägsingenjör,1800-tal,Mörskom,1490,1,1,18
Fredrika Wilhelmina Carstens,FWC,kvinna,skribent,1800-tal,Nådendal,1479,1,2,18
Frans Österblom,FÖ,man,poet,1900-tal,Kimito kommun,1479,1,1,19
Markus Wargh,MW,man,organist,1900-tal,Jakobstad,1477,1,1,19
Tom Segerberg,TS,man,regissör,1900-tal,Vasa,1477,1,1,19
Bengt Sjöstedt,BS,man,häcklöpare,1900-tal,Tenala,1474,1,1,19
Markus Lyra,ML,man,diplomat,1900-tal,Helsingfors,1473,1,1,19
Mathias Rosenlund,MR,man,skribent,2000-tal,Stockholm,1473,1,1,20
Frank Jernström,FJ,man,journalist,1900-tal,Leipzig,1462,1,1,19
Sigfrid "Sigge" Jacobsson,S"J,man,maratonlöpare,1900-tal,Helsingfors,1446,1,1,19
Thomas Johanson,TJ,man,vindsurfare,1900-tal,Helsingfors,1445,1,1,19
Leo Ehrnrooth,LE,man,politiker,1900-tal,Helsingfors,1444,1,1,19
Konrad Huber,KH,man,sportskytt,1900-tal,Helsingfors,1442,1,1,19
Johan Ulrik Sebastian Gripenberg,JUSG,man,politiker,1800-tal,Sääksmäki,1439,1,1,18
Haddon Sundblom,HS,man,målare,1900-tal,Muskegon,1439,1,1,19
Mårten Ringbom,MR,man,skribent,1900-tal,Helsingfors,1438,1,1,19
