hier1,hier2,hier3,dirs,files,bytes
furuvik,Amfiteater,-,1,1,6360760
alveskar,ute,10-12_Fyrhjuling_berget,1,4,25424088
alveskar,uddbastun,09-21,1,22,139481213
resa,SPb,05-24,1,66,417979180
alveskar,paviljongen,11-04_Placering,1,22,139068868
alveskar,ute,08-13_Algskylt,1,2,12620020
alveskar,uddbastun,07-31_Uddbastun,1,27,170143219
alveskar,smahus,07-31_Utedass,1,9,56278771
ick,Byklina,-,1,1,6243392
alveskar,lappstugan,07-27_Lappstugan,1,4,24849222
alveskar,ute,07-20_Vastudden,1,9,55534339
dagbok,Armin,-,1,5,30732911
alveskar,ute,06-17_Ute,1,4,24418351
fredrika,Hfors,-,1,11,66779696
dagbok,Bruno,-,1,3,18088802
alveskar,lappstugan,08-03_Lappstugan,1,39,234266625
alveskar,ute,10-13_Lider,1,9,53828435
resa,SPb,05-26,1,41,244316839
resa,Bjarmaland,08-25,1,4,23619880
furuvik,Aivardon,-,1,12,70142212
mariadb,Indonesien,09-10_Audiens,1,59,344342983
resa,Egypten,12-27_Strandlasa,1,7,40709950
springa,Nara_Isar,-,1,8,46301854
furuvik,Katamarankarra,-,1,2,11555142
alveskar,lidret,09-22_Utifran,1,1,5773166
resa,Egypten,12-27_Morgondopp,1,24,138280860
yoga,S_Alveskar,-,1,3,17231170
alveskar,lappstugan,09-22_Kajakforvar,1,2,11481958
mariadb,Kina,03-22_Shanghai,1,29,166283844
furuvik,Sno,-,1,4,22916918
resa,Kroatien,06-01,1,23,131719322
nagu,Norrstromsbron,-,1,2,11425981
springa,Hfors-rutter,-,1,1,5677363
resa,Budapest,04-22,1,64,363239955
paddla,Alveskar,-,1,80,453681820
alveskar,uddbastun,09-22_Onsen,1,12,68014431
mariadb,Shanghai,av_Marko,5,160,906788317
alveskar,lappstugan,07-20_Lappstugan,1,25,140906978
springa,Nara_Isar_MOV,-,1,6,33670558
springa,Stocksund,-,1,10,55437726
mariadb,Kronprinsessan_id,-,1,15,83129619
alveskar,lappstugan,06-17_Lappstugan,1,11,60808150
alveskar,ute,11-04_Stada,1,4,22104064
furuvik,Under_Arkivet,-,1,13,71666740
alveskar,vaststugan,10-12_Ute,1,2,11000302
resa,Erfurt,09-01_Eisenach,1,5,27486705
alveskar,vaststugan,11-04_Vaststugan_NSWO,1,3,16491818
furuvik,Koksfonster,-,1,1,5496460
yoga,Alveskar,kajMOV,1,15,82211402
resa,Bjarmaland,av_Bjorn,1,83,454891259
dagbok,Regering,-,1,1,5476991
alveskar,ute,10-12_Lidret,1,2,10940571
nagu,Korpostrom,-,1,4,21880940
resa,Egypten,12-29_Luxor,1,169,922090832
alveskar,ute,03-11_Bygga_var,1,27,147047966
furuvik,Balkong,-,1,12,65209474
dagbok,Manformorkelse,-,1,2,10858135
alveskar,smr,04-08_Blasigt,1,3,16266495
selma,Abo,-,1,8,43338950
mariadb,Indonesien,09-10_MOV,1,28,151194365
alveskar,vaststugan,07-31_Vaststugan,1,6,32334829
resa,Rumanien,06-11,1,38,204781661
resa,Budapest,04-21,1,171,921372612
mariadb,NY,02-26_Keynote,1,19,102156760
resa,Koln,-,1,8,42999223
resa,Erfurt,09-01_Wartburg,1,21,112479629
springa,Bengaluru,-,1,23,122559478
alveskar,uddbastun,08-20_Terrass,1,3,15966815
springa,Bukarest,-,1,8,42569693
springa,Safaga_N,-,1,13,69090519
mariadb,Kina,03-23_Landa,1,1,5306136
nagu,Anisor,-,1,7,37085380
yoga,Alveskar,Kaj,1,135,713544038
dagbok,Ska_Keller,-,1,1,5278048
mariadb,Indien,11-25_Bengaluru,1,7,36943271
mariadb,Singapore,09-06_Ditresa,1,2,10542877
springa,Marienklause,-,1,9,47417594
alveskar,smr,06-17_SMR,1,48,251576139
resa,SPb,05-23,1,44,229752822
yoga,Alveskar,Kirsten,1,105,546445908
fest,Midsommar_MOV,-,1,12,62347922
alveskar,vaststugan,08-20_Brister,1,8,41540315
paddla,Vallmo,-,1,19,97652715
resa,Hfors,-,1,4,20551192
munchen,Maximilianskirche,-,1,2,10270866
munchen,Literarischer_Oktett,-,1,1,5131150
alveskar,smr,06-17_SMR_MOV,1,44,225730639
alveskar,smahus,07-28_Vedlidret,1,4,20517898
idrott,Ahrntal,02-19_Hans,1,40,204768776
alveskar,lappstugan,08-02_Lappstugan,1,10,51084677
dagbok,Ogonoperation,-,1,10,50808657
mariadb,NY,fia-stimmung,1,323,1640653100
alveskar,vaststugan,07-19_Vaststugan,1,6,30400213
resa,Java,09-09_Borobudur,1,81,408833878
alveskar,lappstugan,11-04_NSWO,1,4,20141836
alveskar,ute,09-22_Svamp,1,4,20140815
dagbok,Secret_Hitler,-,1,1,5020492
dagbok,S_avfard,-,1,18,90368462
resa,Bjarmaland,08-24_Folison,1,83,415394149
springa,Margitsziged,-,1,27,134495402
alveskar,lidret,08-13_Hyllor,1,6,29858109
alveskar,smr,07-27_Hamnen,1,1,4954818
springa,Taslot,-,1,19,94039239
resa,Java,09-08_Prambanan,1,41,202467984
alveskar,smr,07-20_Bryggan,1,7,34394507
mariadb,Shanghai,11-20,1,27,132251642
mariadb,Split,05-31,1,42,204439430
portratt,Fjarrstyrning,-,1,10,48653394
mariadb,FOSDEM,02-03,1,41,198812579
alveskar,lidret,07-20_Lidret,1,16,77541664
mariadb,NY,fia-mug,7,38,184055957
alveskar,besok,07-27_Simpa,1,6,29012872
resa,Kuala_Lumpur,09-14,1,87,420106446
alveskar,vaststugan,07-27_Vaststugan,1,9,43356715
alveskar,besok,06-22_Midsommar,1,66,317949060
fredrika,Birger_Carlstedt,-,1,46,221452198
alveskar,ute,07-28_Roja,1,2,9610438
mariadb,Indien,11-24_Mumbai,1,110,523409265
mariadb,Indien,11-29_Mumbai,1,62,294724990
alveskar,ute,07-28_fran_vattnet,1,11,52095106
mariadb,Singapore,09-11,1,35,165706339
alveskar,ute,08-20_Utsikt,1,4,18920041
mariadb,Indonesien,09-10_Middag,1,81,382398341
resa,Rumanien,06-10,1,61,287716040
springa,Margitsziged,-,1,36,169396436
paddla,Algeskar,07-21_Algskylt,1,15,70532315
alveskar,dronare,08-13_Senja,1,100,468038586
selma,med_Dups,kajPhone_MOV,1,15,69891925
fredrika,Usv-tryck-film,-,1,3,13950777
dagbok,SDP,-,1,3,13945016
resa,Egypten,12-30_Gron_overdel,1,39,181201137
alveskar,ute,11-04_Lidret_NSWO,1,4,18574360
resa,Egypten,12-27_Springsim,1,40,185559532
alveskar,ute,09-22_Hamnen,1,4,18509970
